customerID,days_since_last_purchase,total_spent,support_tickets,website_visits_last_month,subscription_tier,payment_method,country,device_type,Churn
ECOMM-89040,43.0,4120.52,3,4,Basic,Crypto,Australia,Tablet,Yes
ECOMM-38356,205.0,2282.45,1,30,Free,Crypto,USA,Mobile,No
ECOMM-63639,261.0,614.58,8,2,Free,Credit Card,UK,Desktop,No
ECOMM-77398,61.0,4926.66,0,32,Premium,PayPal,Canada,Mobile,No
ECOMM-64567,128.0,3585.61,3,33,Free,Crypto,Canada,Desktop,Yes
ECOMM-71072,321.0,558.27,4,29,Free,Apple Pay,Australia,Desktop,No
ECOMM-26599,62.0,701.09,5,0,Basic,PayPal,Australia,Desktop,Yes
ECOMM-12175,2.0,1671.94,3,0,Premium,Credit Card,USA,Mobile,No
ECOMM-90101,79.0,4377.6,3,43,Free,Credit Card,UK,Tablet,No
ECOMM-71011,192.0,2040.89,7,40,Basic,PayPal,Germany,Desktop,No
ECOMM-84214,10.0,402.2,7,38,Basic,Apple Pay,Germany,Desktop,No
ECOMM-53565,261.0,3345.38,5,26,Free,Credit Card,Germany,Desktop,No
ECOMM-87977,350.0,1447.37,9,49,Premium,Credit Card,USA,Mobile,No
ECOMM-88302,160.0,1650.5,7,0,Free,Credit Card,Germany,Desktop,No
ECOMM-32656,347.0,3390.07,9,43,Basic,Apple Pay,Germany,Desktop,Yes
ECOMM-20660,113.0,1555.02,2,20,Premium,Crypto,Germany,Desktop,No
ECOMM-79385,93.0,197.84,3,7,Free,Apple Pay,UK,Desktop,Yes
ECOMM-69557,288.0,367.66,2,39,Basic,Credit Card,Australia,Tablet,No
ECOMM-38412,255.0,243.26,0,30,Free,Credit Card,Canada,Desktop,Yes
ECOMM-85336,24.0,3478.52,9,8,Basic,Crypto,UK,Mobile,No
ECOMM-85454,17.0,2879.8,9,33,Free,Crypto,UK,Mobile,Yes
ECOMM-38056,9.0,3059.1,5,46,Basic,Credit Card,USA,Mobile,No
ECOMM-40713,128.0,695.69,5,13,Free,Apple Pay,Australia,Desktop,No
ECOMM-64116,198.0,583.9,9,35,Free,PayPal,UK,Mobile,No
ECOMM-35668,247.0,2089.08,1,33,Free,Credit Card,Germany,Mobile,No
ECOMM-77324,22.0,4283.54,4,12,Basic,Credit Card,UK,Mobile,No
ECOMM-28949,83.0,117.31,8,19,Free,Crypto,Australia,Tablet,No
ECOMM-47517,322.0,2677.97,2,39,Free,Crypto,Germany,Mobile,No
ECOMM-21923,124.0,4184.19,7,30,Basic,Crypto,Germany,Tablet,No
ECOMM-48922,4.0,4091.89,6,16,Free,Apple Pay,Germany,Mobile,No
ECOMM-83922,48.0,1768.2,0,36,Premium,Crypto,Canada,Desktop,No
ECOMM-89803,305.0,3631.46,0,46,Premium,Crypto,USA,Mobile,No
ECOMM-81838,56.0,3945.89,5,28,Free,Apple Pay,UK,Mobile,No
ECOMM-67552,260.0,2171.32,9,31,Basic,Crypto,Australia,Desktop,Yes
ECOMM-86164,3.0,4646.59,0,12,Premium,PayPal,Germany,Desktop,No
ECOMM-40255,226.0,4288.05,9,35,Free,PayPal,UK,Tablet,No
ECOMM-91784,124.0,2354.17,7,42,Basic,Apple Pay,UK,Mobile,No
ECOMM-80691,175.0,524.73,4,27,Basic,Crypto,USA,Tablet,No
ECOMM-88409,155.0,4421.73,3,9,Free,PayPal,Germany,Desktop,No
ECOMM-58674,356.0,2306.65,6,19,Free,PayPal,USA,Tablet,Yes
ECOMM-31969,154.0,1174.95,8,23,Free,Crypto,USA,Desktop,No
ECOMM-87837,358.0,272.66,1,38,Basic,PayPal,Germany,Mobile,Yes
ECOMM-52006,104.0,2474.53,5,10,Premium,Credit Card,Australia,Tablet,No
ECOMM-64647,255.0,1938.61,9,11,Basic,Crypto,Australia,Desktop,Yes
ECOMM-97643,194.0,1964.03,8,26,Premium,Apple Pay,UK,Desktop,Yes
ECOMM-21232,201.0,4923.88,8,18,Free,Apple Pay,Canada,Mobile,No
ECOMM-22626,10.0,3705.06,7,19,Free,Credit Card,USA,Mobile,No
ECOMM-40832,65.0,4434.99,2,15,Free,Apple Pay,Canada,Desktop,No
ECOMM-59641,148.0,2194.43,6,33,Free,Crypto,Germany,Mobile,No
ECOMM-30464,132.0,1218.49,5,13,Premium,PayPal,Germany,Desktop,Yes
ECOMM-66259,224.0,169.29,8,41,Basic,Credit Card,Germany,Mobile,Yes
ECOMM-59934,5.0,4835.45,1,23,Free,Credit Card,Canada,Desktop,No
ECOMM-64357,279.0,4804.45,2,13,Free,PayPal,Germany,Tablet,No
ECOMM-61608,35.0,3659.92,2,24,Premium,Apple Pay,Canada,Desktop,No
ECOMM-59689,362.0,77.17,2,12,Basic,Apple Pay,Australia,Desktop,Yes
ECOMM-87785,80.0,3142.65,3,47,Premium,Credit Card,Canada,Desktop,No
ECOMM-69415,160.0,341.51,0,30,Free,Credit Card,USA,Mobile,No
ECOMM-25128,146.0,4101.42,9,6,Free,Apple Pay,UK,Tablet,No
ECOMM-58990,343.0,4204.45,6,30,Premium,Credit Card,USA,Desktop,No
ECOMM-85535,335.0,3301.95,5,35,Premium,PayPal,Germany,Tablet,Yes
ECOMM-25881,334.0,282.99,3,22,Basic,PayPal,Germany,Tablet,No
ECOMM-73168,286.0,214.19,2,40,Basic,PayPal,Canada,Desktop,No
ECOMM-57534,51.0,1808.92,6,36,Basic,Apple Pay,Australia,Tablet,No
ECOMM-92757,100.0,4249.4,5,12,Free,PayPal,Canada,Desktop,No
ECOMM-76497,183.0,4018.64,6,41,Free,Apple Pay,USA,Desktop,No
ECOMM-43578,206.0,451.17,2,46,Free,Apple Pay,USA,Mobile,Yes
ECOMM-81710,82.0,3578.23,1,45,Basic,Crypto,UK,Mobile,No
ECOMM-28916,280.0,2009.01,6,26,Basic,Crypto,UK,Desktop,No
ECOMM-40307,289.0,4554.58,4,25,Free,PayPal,Germany,Tablet,No
ECOMM-72554,265.0,1934.45,7,8,Premium,Credit Card,USA,Tablet,No
ECOMM-32906,268.0,298.68,2,47,Premium,Crypto,USA,Mobile,Yes
ECOMM-50461,309.0,2588.36,2,43,Free,Crypto,UK,Desktop,Yes
ECOMM-86604,355.0,444.24,2,16,Basic,Crypto,Canada,Desktop,No
ECOMM-13180,161.0,1717.93,7,20,Free,Credit Card,Germany,Mobile,No
ECOMM-19492,22.0,4199.64,7,1,Basic,Apple Pay,Australia,Desktop,No
ECOMM-34077,344.0,4551.43,9,29,Basic,Apple Pay,Germany,Desktop,No
ECOMM-85969,158.0,1585.54,8,42,Free,PayPal,Australia,Mobile,No
ECOMM-23473,183.0,4991.24,5,47,Basic,Apple Pay,Germany,Mobile,Yes
ECOMM-63859,133.0,2185.23,5,32,Premium,Credit Card,Canada,Mobile,No
ECOMM-15816,273.0,366.73,4,12,Free,PayPal,UK,Tablet,Yes
ECOMM-72245,239.0,1453.32,3,29,Free,Crypto,Canada,Tablet,Yes
ECOMM-64488,53.0,1203.83,4,19,Free,PayPal,USA,Mobile,Yes
ECOMM-93341,194.0,3256.36,1,48,Free,Crypto,Germany,Mobile,No
ECOMM-29791,249.0,2627.63,1,44,Premium,PayPal,USA,Mobile,No
ECOMM-45698,208.0,1000.45,6,6,Free,PayPal,UK,Mobile,Yes
ECOMM-24951,189.0,887.2,7,10,Free,Crypto,USA,Mobile,Yes
ECOMM-74239,52.0,4306.82,7,29,Premium,Apple Pay,Australia,Mobile,Yes
ECOMM-14713,119.0,1089.72,1,20,Free,Credit Card,Canada,Mobile,No
ECOMM-20247,343.0,3363.41,3,0,Basic,Crypto,USA,Tablet,Yes
ECOMM-73991,263.0,519.58,9,4,Basic,Credit Card,Germany,Tablet,Yes
ECOMM-55683,119.0,1097.82,5,46,Premium,Apple Pay,Australia,Mobile,Yes
ECOMM-47057,140.0,4576.32,2,49,Basic,Crypto,UK,Tablet,No
ECOMM-57403,144.0,535.37,1,10,Free,Crypto,Australia,Mobile,No
ECOMM-77477,85.0,1799.57,1,0,Free,Crypto,Germany,Desktop,No
ECOMM-35155,84.0,2861.14,6,31,Free,Apple Pay,Canada,Desktop,No
ECOMM-90401,69.0,134.94,1,44,Premium,PayPal,USA,Desktop,No
ECOMM-60063,111.0,3539.69,1,7,Free,Crypto,Australia,Tablet,No
ECOMM-42435,74.0,2848.68,7,43,Free,Apple Pay,USA,Mobile,Yes
ECOMM-12531,138.0,3565.73,6,12,Premium,Crypto,Australia,Mobile,No
ECOMM-12882,176.0,1514.71,5,3,Free,Credit Card,UK,Mobile,Yes
ECOMM-55832,95.0,2528.44,6,24,Premium,Credit Card,Australia,Mobile,No
ECOMM-98812,330.0,59.86,3,27,Free,Apple Pay,UK,Mobile,Yes
ECOMM-40121,166.0,3432.45,8,24,Free,PayPal,Canada,Desktop,No
ECOMM-30593,222.0,529.54,0,49,Free,Apple Pay,UK,Mobile,No
ECOMM-88676,304.0,1875.53,7,13,Free,Crypto,UK,Mobile,Yes
ECOMM-60504,81.0,222.51,4,25,Free,Credit Card,USA,Desktop,No
ECOMM-18349,308.0,3468.26,9,28,Basic,Crypto,UK,Mobile,No
ECOMM-21945,355.0,3187.85,9,17,Premium,Credit Card,UK,Tablet,Yes
ECOMM-22898,223.0,2295.87,4,9,Free,Apple Pay,UK,Mobile,Yes
ECOMM-12645,237.0,3167.49,1,13,Free,PayPal,Germany,Tablet,No
ECOMM-64078,202.0,859.85,6,21,Free,Crypto,Australia,Mobile,No
ECOMM-33778,126.0,4712.81,0,21,Free,PayPal,Germany,Desktop,No
ECOMM-30404,220.0,4172.55,1,26,Free,Apple Pay,Canada,Mobile,No
ECOMM-77592,149.0,3571.0,9,16,Premium,PayPal,Germany,Desktop,No
ECOMM-97910,184.0,651.09,7,13,Free,Crypto,Australia,Mobile,No
ECOMM-18870,52.0,312.22,2,20,Free,Apple Pay,Canada,Desktop,No
ECOMM-82686,26.0,1826.09,9,49,Free,Crypto,Australia,Mobile,No
ECOMM-98668,158.0,2824.3,9,21,Free,Apple Pay,Australia,Desktop,No
ECOMM-74497,38.0,345.92,9,38,Basic,Crypto,Australia,Tablet,No
ECOMM-71610,303.0,2636.05,9,26,Free,PayPal,Canada,Desktop,Yes
ECOMM-97403,175.0,2073.77,9,42,Free,Crypto,Germany,Desktop,No
ECOMM-91575,364.0,2372.37,1,26,Free,PayPal,Australia,Tablet,No
ECOMM-90856,27.0,326.72,5,17,Basic,Credit Card,UK,Tablet,No
ECOMM-17711,28.0,3990.86,5,48,Free,Apple Pay,UK,Desktop,No
ECOMM-28136,48.0,2237.17,7,36,Free,PayPal,Australia,Mobile,No
ECOMM-13233,123.0,2367.34,0,35,Basic,PayPal,UK,Tablet,No
ECOMM-82285,228.0,4778.29,2,35,Premium,Apple Pay,UK,Desktop,No
ECOMM-80860,133.0,3702.15,9,5,Free,Crypto,USA,Mobile,Yes
ECOMM-76795,345.0,2180.83,5,28,Free,Credit Card,UK,Mobile,No
ECOMM-61274,361.0,4184.42,4,19,Free,Credit Card,Canada,Tablet,Yes
ECOMM-78781,13.0,3677.3,4,33,Basic,Apple Pay,Canada,Tablet,Yes
ECOMM-86437,236.0,2482.69,5,47,Free,Crypto,Canada,Mobile,Yes
ECOMM-38969,220.0,232.9,6,33,Premium,PayPal,Australia,Desktop,No
ECOMM-47624,313.0,2360.29,1,29,Free,Credit Card,Australia,Desktop,No
ECOMM-48656,165.0,4982.29,8,42,Free,PayPal,USA,Mobile,No
ECOMM-51591,33.0,2409.47,9,7,Basic,Credit Card,Germany,Tablet,No
ECOMM-87465,15.0,716.7,7,11,Free,Credit Card,USA,Mobile,Yes
ECOMM-30337,60.0,3004.68,5,29,Basic,Apple Pay,Canada,Tablet,No
ECOMM-85281,285.0,3991.29,6,30,Basic,Apple Pay,Australia,Desktop,No
ECOMM-31384,34.0,2256.05,1,43,Free,Credit Card,Canada,Desktop,No
ECOMM-52132,257.0,1589.61,1,13,Premium,Credit Card,UK,Desktop,No
ECOMM-40816,46.0,4647.78,6,40,Free,PayPal,Australia,Desktop,No
ECOMM-71492,341.0,2970.98,5,16,Basic,Apple Pay,UK,Tablet,No
ECOMM-64944,43.0,118.54,3,39,Premium,Crypto,UK,Mobile,No
ECOMM-64249,242.0,1422.41,0,36,Free,Crypto,Canada,Tablet,No
ECOMM-12822,6.0,3073.79,9,18,Free,Apple Pay,UK,Tablet,Yes
ECOMM-19576,261.0,1484.05,6,19,Free,Credit Card,UK,Desktop,Yes
ECOMM-86752,25.0,352.03,4,31,Free,PayPal,UK,Desktop,No
ECOMM-68028,132.0,463.51,2,10,Basic,Credit Card,Australia,Desktop,No
ECOMM-33728,312.0,3408.22,9,9,Premium,PayPal,Germany,Mobile,No
ECOMM-95159,211.0,2876.68,6,9,Premium,Crypto,Canada,Tablet,No
ECOMM-35509,124.0,3796.58,0,44,Premium,Credit Card,USA,Mobile,No
ECOMM-97775,226.0,45.21,6,45,Basic,Credit Card,USA,Mobile,Yes
ECOMM-79159,226.0,3945.75,2,10,Free,Crypto,Germany,Desktop,No
ECOMM-24751,43.0,2006.24,7,0,Premium,PayPal,Australia,Desktop,No
ECOMM-87989,172.0,454.62,4,14,Free,Credit Card,UK,Mobile,No
ECOMM-40929,73.0,2602.85,4,44,Premium,Crypto,Australia,Desktop,No
ECOMM-76287,175.0,2796.75,2,49,Free,Apple Pay,UK,Tablet,No
ECOMM-48799,86.0,4769.18,2,5,Basic,Apple Pay,Canada,Tablet,No
ECOMM-64396,93.0,4703.55,4,49,Basic,Crypto,USA,Mobile,No
ECOMM-67485,222.0,3887.84,8,20,Free,Crypto,Canada,Mobile,Yes
ECOMM-66303,171.0,1898.13,6,47,Premium,PayPal,USA,Mobile,No
ECOMM-46662,198.0,3256.64,6,6,Basic,Crypto,Germany,Mobile,No
ECOMM-77958,45.0,3571.02,8,10,Basic,Apple Pay,Australia,Mobile,No
ECOMM-45958,118.0,2998.46,6,2,Free,PayPal,USA,Tablet,No
ECOMM-14458,123.0,899.53,6,34,Free,Credit Card,USA,Mobile,No
ECOMM-29180,288.0,2233.78,0,39,Free,Crypto,Canada,Tablet,No
ECOMM-57478,135.0,1934.4,0,7,Basic,Apple Pay,Australia,Mobile,No
ECOMM-86325,252.0,4094.55,6,19,Premium,Apple Pay,Australia,Desktop,Yes
ECOMM-91388,313.0,1092.1,3,45,Premium,Credit Card,Australia,Desktop,No
ECOMM-48037,51.0,2099.66,1,36,Basic,Apple Pay,Australia,Tablet,No
ECOMM-58896,31.0,4164.11,6,46,Free,Credit Card,Australia,Tablet,No
ECOMM-58487,288.0,3047.71,8,26,Premium,Credit Card,UK,Mobile,No
ECOMM-73509,114.0,3239.04,7,49,Free,PayPal,UK,Mobile,No
ECOMM-35493,113.0,2942.91,7,40,Basic,PayPal,Germany,Desktop,No
ECOMM-36593,364.0,3650.9,4,25,Basic,PayPal,Germany,Desktop,No
ECOMM-34364,170.0,4623.01,5,15,Premium,Apple Pay,UK,Desktop,No
ECOMM-77580,225.0,4567.45,3,49,Premium,Apple Pay,Canada,Mobile,No
ECOMM-70377,67.0,4223.57,5,2,Free,Apple Pay,Australia,Mobile,Yes
ECOMM-19330,94.0,237.13,6,1,Premium,Crypto,UK,Desktop,No
ECOMM-23698,147.0,2254.22,9,12,Free,Apple Pay,USA,Tablet,No
ECOMM-61053,8.0,3451.34,6,7,Free,Apple Pay,USA,Tablet,No
ECOMM-90430,84.0,2036.6,4,1,Premium,PayPal,Canada,Desktop,No
ECOMM-79164,360.0,4125.37,6,41,Free,Crypto,Germany,Desktop,Yes
ECOMM-36530,267.0,1688.57,3,2,Free,PayPal,Canada,Tablet,No
ECOMM-95769,214.0,1191.84,4,7,Free,Credit Card,USA,Tablet,Yes
ECOMM-69559,215.0,2696.52,4,32,Premium,Crypto,Australia,Mobile,Yes
ECOMM-83106,123.0,725.09,7,14,Basic,Apple Pay,Australia,Tablet,Yes
ECOMM-86639,321.0,1999.03,2,2,Basic,Credit Card,UK,Mobile,No
ECOMM-83805,170.0,2060.27,8,18,Premium,Apple Pay,USA,Mobile,No
ECOMM-57614,58.0,1223.37,7,6,Free,Credit Card,USA,Mobile,Yes
ECOMM-29435,22.0,223.9,6,47,Premium,PayPal,Germany,Tablet,No
ECOMM-82650,210.0,2859.71,1,18,Free,PayPal,USA,Desktop,No
ECOMM-13386,44.0,1545.16,4,26,Premium,PayPal,USA,Tablet,No
ECOMM-93537,172.0,3065.41,8,30,Basic,Credit Card,Australia,Mobile,No
ECOMM-98907,307.0,3769.13,2,42,Basic,Crypto,Australia,Desktop,No
ECOMM-76183,174.0,1610.68,4,21,Free,PayPal,USA,Mobile,No
ECOMM-71253,219.0,2018.9,7,28,Free,Credit Card,Australia,Desktop,Yes
ECOMM-91104,275.0,4411.25,6,20,Basic,PayPal,Canada,Desktop,No
ECOMM-51220,151.0,1367.65,1,0,Free,Crypto,Australia,Tablet,No
ECOMM-13405,151.0,26.13,1,9,Free,Credit Card,Australia,Mobile,No
ECOMM-86362,29.0,1339.36,4,6,Premium,Apple Pay,UK,Desktop,No
ECOMM-91443,254.0,1951.9,8,44,Premium,Crypto,Australia,Mobile,No
ECOMM-19925,6.0,881.99,9,33,Free,Credit Card,USA,Mobile,No
ECOMM-41286,102.0,3974.45,8,47,Free,Credit Card,UK,Desktop,Yes
ECOMM-85487,100.0,4870.07,6,48,Premium,Credit Card,UK,Mobile,Yes
ECOMM-36954,47.0,2730.71,3,39,Free,Crypto,USA,Desktop,No
ECOMM-34141,276.0,3985.1,0,48,Free,Crypto,UK,Mobile,No
ECOMM-44957,289.0,379.7,4,12,Basic,Credit Card,USA,Tablet,Yes
ECOMM-66219,47.0,4141.24,6,19,Free,Credit Card,Australia,Tablet,No
ECOMM-28752,192.0,2852.15,4,38,Free,Crypto,Canada,Tablet,Yes
ECOMM-68333,87.0,805.48,1,22,Free,PayPal,UK,Tablet,No
ECOMM-68223,91.0,3021.8,4,40,Free,Apple Pay,Canada,Desktop,No
ECOMM-22239,57.0,4281.95,0,41,Premium,Apple Pay,Australia,Desktop,No
ECOMM-71402,165.0,2172.24,9,48,Free,Credit Card,Canada,Desktop,Yes
ECOMM-74219,351.0,543.69,7,28,Free,PayPal,USA,Desktop,Yes
ECOMM-59274,231.0,3998.55,8,44,Premium,Crypto,Canada,Mobile,Yes
ECOMM-13600,3.0,3306.71,9,33,Free,Apple Pay,USA,Mobile,No
ECOMM-48835,90.0,1181.81,9,15,Basic,Credit Card,USA,Desktop,No
ECOMM-57966,110.0,3494.02,4,15,Basic,Crypto,Canada,Desktop,Yes
ECOMM-97338,66.0,3947.69,8,49,Basic,Crypto,USA,Tablet,No
ECOMM-74494,61.0,3513.19,9,12,Basic,Credit Card,Germany,Desktop,No
ECOMM-32027,361.0,3814.1,4,26,Premium,PayPal,Germany,Desktop,Yes
ECOMM-50024,241.0,2734.06,5,22,Premium,PayPal,UK,Mobile,No
ECOMM-17026,68.0,4475.28,3,27,Free,PayPal,Canada,Mobile,No
ECOMM-68381,189.0,2723.78,5,26,Premium,Apple Pay,USA,Mobile,No
ECOMM-48356,122.0,1439.95,6,35,Basic,PayPal,UK,Desktop,Yes
ECOMM-10545,121.0,1393.05,8,44,Premium,Crypto,Australia,Desktop,No
ECOMM-62648,145.0,531.48,7,45,Free,PayPal,USA,Mobile,No
ECOMM-57397,342.0,2065.44,8,29,Free,PayPal,Germany,Mobile,No
ECOMM-68389,314.0,631.07,2,5,Basic,PayPal,USA,Desktop,No
ECOMM-80886,200.0,2809.54,6,30,Free,Credit Card,USA,Desktop,Yes
ECOMM-95354,102.0,4976.56,4,39,Premium,PayPal,UK,Desktop,No
ECOMM-51541,321.0,4174.37,2,30,Free,Crypto,Australia,Desktop,No
ECOMM-10463,81.0,1715.08,1,19,Free,Crypto,USA,Mobile,No
ECOMM-59569,11.0,758.98,7,40,Free,Apple Pay,USA,Mobile,No
ECOMM-16760,47.0,2716.39,8,33,Premium,Crypto,Canada,Mobile,No
ECOMM-33915,193.0,3024.66,0,41,Premium,PayPal,UK,Desktop,No
ECOMM-29841,277.0,2669.77,4,49,Free,Crypto,Australia,Desktop,No
ECOMM-32926,84.0,4315.61,2,49,Free,Crypto,Australia,Desktop,No
ECOMM-55695,206.0,1051.11,8,24,Free,Apple Pay,Germany,Tablet,Yes
ECOMM-32474,104.0,4892.47,9,23,Free,Crypto,Canada,Desktop,Yes
ECOMM-43726,35.0,2860.22,9,42,Basic,Apple Pay,Australia,Tablet,Yes
ECOMM-42774,235.0,4382.08,8,11,Premium,Crypto,Germany,Desktop,Yes
ECOMM-11804,166.0,2534.26,0,44,Basic,PayPal,UK,Desktop,No
ECOMM-97550,136.0,3307.99,5,42,Free,Credit Card,UK,Desktop,No
ECOMM-35730,360.0,1490.84,6,12,Premium,Credit Card,UK,Tablet,No
ECOMM-61465,351.0,3761.42,0,14,Free,Crypto,Australia,Desktop,No
ECOMM-24966,336.0,1721.02,2,2,Free,Apple Pay,USA,Desktop,No
ECOMM-82071,74.0,503.5,2,29,Basic,Apple Pay,Australia,Tablet,No
ECOMM-10389,205.0,1389.84,5,5,Free,Apple Pay,Canada,Tablet,No
ECOMM-53224,144.0,3087.17,5,36,Free,Credit Card,Canada,Mobile,Yes
ECOMM-22167,86.0,4626.15,4,43,Premium,Credit Card,UK,Mobile,No
ECOMM-72161,196.0,2270.22,3,19,Free,Apple Pay,Canada,Desktop,No
ECOMM-47145,215.0,1399.51,8,44,Basic,Crypto,Canada,Tablet,No
ECOMM-81708,301.0,3987.99,7,33,Basic,Credit Card,Germany,Mobile,Yes
ECOMM-81652,187.0,1322.06,3,36,Free,Crypto,UK,Desktop,No
ECOMM-24834,213.0,4110.61,4,3,Premium,Apple Pay,Australia,Mobile,No
ECOMM-74471,354.0,3443.75,7,10,Basic,PayPal,USA,Mobile,Yes
ECOMM-24759,58.0,3990.56,9,34,Free,PayPal,UK,Tablet,No
ECOMM-66164,6.0,3249.82,9,46,Basic,PayPal,UK,Tablet,Yes
ECOMM-97722,64.0,530.99,1,39,Free,Crypto,UK,Tablet,No
ECOMM-84284,114.0,4323.41,7,49,Premium,Credit Card,Australia,Tablet,Yes
ECOMM-33989,106.0,1264.77,4,9,Premium,Crypto,Canada,Tablet,No
ECOMM-34422,147.0,3769.93,5,19,Basic,PayPal,Australia,Mobile,No
ECOMM-85534,241.0,3170.48,6,30,Premium,Credit Card,UK,Desktop,Yes
ECOMM-22795,266.0,369.51,9,28,Premium,Credit Card,Australia,Desktop,No
ECOMM-85800,249.0,4337.17,3,9,Free,Apple Pay,Australia,Desktop,No
ECOMM-36742,273.0,4545.87,1,33,Free,Crypto,Australia,Desktop,No
ECOMM-56649,191.0,2578.83,8,36,Free,Credit Card,Germany,Desktop,Yes
ECOMM-96365,268.0,887.49,2,42,Basic,Apple Pay,Canada,Tablet,No
ECOMM-68557,319.0,1227.98,5,30,Basic,Credit Card,UK,Tablet,No
ECOMM-26343,208.0,4251.53,3,47,Basic,PayPal,UK,Tablet,No
ECOMM-53848,291.0,1980.44,1,14,Free,Apple Pay,USA,Desktop,No
ECOMM-61263,201.0,3330.44,1,8,Free,Credit Card,USA,Desktop,No
ECOMM-93552,129.0,456.34,5,44,Free,Credit Card,UK,Mobile,No
ECOMM-60847,106.0,4588.22,1,48,Basic,Apple Pay,Australia,Mobile,Yes
ECOMM-35839,310.0,878.13,3,47,Free,Credit Card,Canada,Tablet,No
ECOMM-76534,317.0,2065.04,2,17,Free,Crypto,USA,Desktop,No
ECOMM-54498,71.0,3330.79,0,18,Premium,Credit Card,USA,Tablet,No
ECOMM-41835,156.0,3355.92,2,47,Basic,Credit Card,Canada,Desktop,No
ECOMM-93362,229.0,2500.24,4,46,Premium,Apple Pay,Germany,Tablet,No
ECOMM-33531,131.0,1708.63,1,20,Basic,Credit Card,Germany,Desktop,No
ECOMM-37046,187.0,748.96,2,11,Free,Credit Card,USA,Tablet,No
ECOMM-83069,290.0,308.41,0,20,Free,Crypto,USA,Mobile,No
ECOMM-54905,91.0,4143.13,4,29,Premium,Crypto,Australia,Tablet,No
ECOMM-43364,264.0,4480.36,6,31,Basic,PayPal,UK,Desktop,No
ECOMM-73076,152.0,550.26,7,6,Free,Credit Card,Australia,Mobile,No
ECOMM-59080,116.0,2905.56,7,30,Free,Crypto,Australia,Desktop,No
ECOMM-47006,22.0,1905.66,8,18,Free,Credit Card,Canada,Mobile,No
ECOMM-34347,9.0,1512.96,5,0,Premium,Apple Pay,Australia,Mobile,No
ECOMM-39602,71.0,2869.26,9,25,Free,Crypto,Canada,Tablet,No
ECOMM-25113,4.0,3885.01,8,1,Free,PayPal,UK,Mobile,No
ECOMM-60232,196.0,3245.47,3,34,Free,Apple Pay,Australia,Tablet,No
ECOMM-41847,310.0,3908.24,4,31,Free,Apple Pay,USA,Desktop,No
ECOMM-10145,12.0,3786.68,0,22,Free,Credit Card,UK,Tablet,Yes
ECOMM-50620,55.0,3611.2,1,35,Premium,Apple Pay,Australia,Mobile,No
ECOMM-87218,317.0,2869.45,9,5,Basic,PayPal,UK,Tablet,Yes
ECOMM-92031,220.0,3603.22,2,10,Free,PayPal,USA,Tablet,No
ECOMM-82067,281.0,4337.75,2,45,Basic,Crypto,USA,Desktop,Yes
ECOMM-85944,216.0,1847.39,1,41,Free,PayPal,Germany,Mobile,No
ECOMM-12536,346.0,3072.88,4,21,Premium,Credit Card,USA,Tablet,No
ECOMM-78000,83.0,271.52,1,31,Premium,Crypto,UK,Mobile,No
ECOMM-82109,307.0,477.37,3,16,Premium,Credit Card,Germany,Desktop,No
ECOMM-78285,163.0,2200.18,7,24,Premium,Crypto,USA,Desktop,Yes
ECOMM-41430,13.0,3481.7,9,14,Free,Crypto,Germany,Tablet,Yes
ECOMM-77949,153.0,4489.29,1,35,Free,Apple Pay,Canada,Mobile,Yes
ECOMM-95087,150.0,572.29,1,35,Free,PayPal,USA,Desktop,No
ECOMM-76040,183.0,3506.82,3,37,Free,Crypto,Germany,Desktop,No
ECOMM-27997,61.0,3482.75,0,4,Free,PayPal,USA,Mobile,No
ECOMM-66325,312.0,4484.45,1,36,Free,PayPal,USA,Mobile,No
ECOMM-99992,113.0,2962.67,4,37,Basic,PayPal,Germany,Tablet,No
ECOMM-18354,334.0,3301.8,6,32,Free,PayPal,USA,Desktop,Yes
ECOMM-81616,364.0,204.08,9,42,Free,Apple Pay,Australia,Desktop,No
ECOMM-28651,32.0,1517.45,1,48,Free,Apple Pay,UK,Tablet,No
ECOMM-84720,268.0,3415.29,5,31,Premium,Apple Pay,UK,Desktop,No
ECOMM-82580,157.0,3437.52,7,28,Free,Credit Card,Germany,Mobile,No
ECOMM-69624,189.0,1834.98,4,24,Free,Apple Pay,USA,Tablet,Yes
ECOMM-89274,108.0,1989.98,5,3,Free,Credit Card,Canada,Tablet,No
ECOMM-64556,147.0,1760.7,1,36,Premium,PayPal,Germany,Tablet,No
ECOMM-69952,287.0,3143.5,8,17,Free,Crypto,USA,Tablet,Yes
ECOMM-59029,215.0,4729.46,7,20,Free,Credit Card,USA,Mobile,Yes
ECOMM-92196,126.0,3750.89,8,4,Free,Credit Card,Germany,Desktop,Yes
ECOMM-32740,259.0,1920.29,5,26,Premium,Crypto,UK,Desktop,No
ECOMM-29742,177.0,2954.99,0,30,Premium,PayPal,Australia,Desktop,No
ECOMM-51225,262.0,2290.21,7,39,Basic,Credit Card,Australia,Mobile,Yes
ECOMM-55940,258.0,4901.67,4,16,Free,Apple Pay,Germany,Mobile,Yes
ECOMM-78870,319.0,3847.96,1,46,Free,PayPal,Canada,Desktop,No
ECOMM-58644,232.0,427.43,8,7,Free,Crypto,USA,Desktop,No
ECOMM-79813,271.0,3229.48,6,33,Free,Credit Card,UK,Tablet,No
ECOMM-88226,271.0,4022.37,6,15,Basic,PayPal,Germany,Mobile,No
